  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00           99.82304616            0.00000000        2276.12983954         -383.99737545         1892.13246409 
  5.0000e-15           99.43006643            0.00000000        2267.16925470         -397.48255702         1869.68669768 
  1.0000e-14           98.77588380            0.00000000        2252.25281323         -420.93571177         1831.31710146 
  1.5000e-14           97.86274191            0.00000000        2231.43167453         -455.45995755         1775.97171698 
  2.0000e-14           96.69420692            0.00000000        2204.78715238         -501.97236610         1702.81478627 
  2.5000e-14           95.27544708            0.00000000        2172.43709170         -559.27684828         1613.16024342 
  3.0000e-14           93.61359318            0.00000000        2134.54408609         -617.40207857         1517.14200752 
  3.5000e-14           91.71817531            0.00000000        2091.32543719         -635.18041119         1456.14502600 
  4.0000e-14           89.60162563            0.00000000        2043.06461894         -467.46615721         1575.59846172 
  4.5000e-14           87.27982724            0.00000000        1990.12379217          356.93655672         2347.06034889 
  5.0000e-14           84.77267539            0.00000000        1932.95660142         3248.66738217         5181.62398359 
  5.5000e-14           82.10459940            0.00000000        1872.12007501        12011.57842682        13883.69850183 
  6.0000e-14           79.30497260            0.00000000        1808.28397361        35538.86212385        37347.14609746 
  6.5000e-14           76.40831815            0.00000000        1742.23548195        90856.14637558        92598.38185753 
  7.0000e-14           73.45420664            0.00000000        1674.87687468       201982.45720869       203657.33408337 
  7.5000e-14           70.48674794            0.00000000        1607.21392950       386617.21357936       388224.42750886 
  8.0000e-14           67.55361228            0.00000000        1540.33360634       629376.95794774       630917.29155408 
  8.5000e-14           64.70457698            0.00000000        1475.37090963       863307.53173537       864782.90264500 
  9.0000e-14           61.98967523            0.00000000        1413.46667893       994756.79788037       996170.26455931 
  9.5000e-14           59.45710104            0.00000000        1355.71981680       968636.45378799       969992.17360479 
  1.0000e-13           57.15107350            0.00000000        1303.13859138       811543.96822510       812847.10681647 
  1.0500e-13           55.10987046            0.00000000        1256.59580053       604489.35132182       605745.94712235 
  1.1000e-13           53.36420805            0.00000000        1216.79182305       419536.12590907       420752.91773211 
  1.1500e-13           51.93608655            0.00000000        1184.22830089       285544.79176725       286729.02006813 
  1.2000e-13           50.83816250            0.00000000        1159.19382452       197491.85108182       198651.04490634 
  1.2500e-13           50.07365433            0.00000000        1141.76177931       139772.53781239       140914.29959170 
  1.3000e-13           49.63674418            0.00000000        1131.79950848        99917.84843812       101049.64794659 
  1.3500e-13           49.51340384            0.00000000        1128.98714557        71032.64606694        72161.63321251 
  1.4000e-13           49.68254684            0.00000000        1132.84388447        49766.32523753        50899.16912200 
  1.4500e-13           50.11739509            0.00000000        1142.75914071        34294.29353982        35437.05268053 
  1.5000e-13           50.78694778            0.00000000        1158.02604452        23331.50572550        24489.53177002 
  1.5500e-13           51.65745157            0.00000000        1177.87496458        15828.63795121        17006.51291579 
  1.6000e-13           52.69379097            0.00000000        1201.50520949        10927.10449527        12128.60970476 
  1.6500e-13           53.86074066            0.00000000        1228.11358424         7963.42278113         9191.53636537 
  1.7000e-13           55.12404482            0.00000000        1256.91899934         6458.44470518         7715.36370452 
  1.7500e-13           56.45130757            0.00000000        1287.18277572         6083.83603046         7371.01880618 
  1.8000e-13           57.81269408            0.00000000        1318.22463025         6613.96002241         7932.18465265 
  1.8500e-13           59.18145184            0.00000000        1349.43456110         7876.42917823         9225.86373933 
  1.9000e-13           60.53426772            0.00000000        1380.28099101         9719.09470374        11099.37569475 
  1.9500e-13           61.85147952            0.00000000        1410.31558916        12013.23983761        13423.55542677 
  2.0000e-13           63.11716037            0.00000000        1439.17519682        14705.31870426        16144.49390108 
  2.0500e-13           64.31909323            0.00000000        1466.58124537        17909.19298418        19375.77422955 
  2.1000e-13           65.44864973            0.00000000        1492.33699374        22006.01821644        23498.35521018 
  2.1500e-13           66.50058459            0.00000000        1516.32284083        27709.29410206        29225.61694289 
  2.2000e-13           67.47275411            0.00000000        1538.48990685        36066.64296431        37605.13287117 
  2.2500e-13           68.36576579            0.00000000        1558.85204371        48373.65941147        49932.51145518 
  2.3000e-13           69.18256663            0.00000000        1577.47644798        65907.97684862        67485.45329659 
  2.3500e-13           69.92798097            0.00000000        1594.47312241        89285.52843030        90880.00155271 
  2.4000e-13           70.60821430            0.00000000        1609.98356256       117343.68196641       118953.66552897 
  2.4500e-13           71.23034709            0.00000000        1624.16921476       146035.46906334       147659.63827810 
  2.5000e-13           71.80184970            0.00000000        1637.20041531       168553.14250127       170190.34291658 
  2.5500e-13           72.33015357            0.00000000        1649.24661358       177676.84076392       179326.08737749 
  2.6000e-13           72.82231203            0.00000000        1660.46863708       169542.42329535       171202.89193243 
  2.6500e-13           73.28477426            0.00000000        1671.01353751       146134.95105216       147805.96458967 
  2.7000e-13           73.72327989            0.00000000        1681.01218789       114330.48849834       116011.50068624 
  2.7500e-13           74.14286289            0.00000000        1690.57937129        82201.78073516        83892.36010645 
  2.8000e-13           74.54793734            0.00000000        1699.81573590        55465.68119411        57165.49693001 
  2.8500e-13           74.94242885            0.00000000        1708.81079189        36213.93683786        37922.74762976 
  2.9000e-13           75.32991569            0.00000000        1717.64612997        23795.84582445        25513.49195442 
  2.9500e-13           75.71375125            0.00000000        1726.39821291        16417.20344608        18143.60165899 
  3.0000e-13           76.09715048            0.00000000        1735.14034665        12312.80033548        14047.94068214 
  3.0500e-13           76.48323420            0.00000000        1743.94369135        10213.28999336        11957.23368472 
  3.1000e-13           76.87503393            0.00000000        1752.87737024         9347.58421401        11100.46158425 
  3.1500e-13           77.27546492            0.00000000        1762.00785636         9281.44078007        11043.44863643 
  3.2000e-13           77.68727807            0.00000000        1771.39787419         9759.33212518        11530.72999938 
  3.2500e-13           78.11300133            0.00000000        1781.10506558        10598.18682313        12379.29188871 
  3.3000e-13           78.55488125            0.00000000        1791.18065554        11631.65380463        13422.83446017 
  3.3500e-13           79.01483354            0.00000000        1801.66832530        12696.74757039        14498.41589569 
  3.4000e-13           79.49441007            0.00000000        1812.60345986        13656.33004080        15468.93350067 
  3.4500e-13           79.99478732            0.00000000        1824.01288521        14444.89249607        16268.90538127 
  3.5000e-13           80.51677849            0.00000000        1835.91514341        15117.85422773        16953.76937114 
  3.5500e-13           81.06086767            0.00000000        1848.32127264        15893.10555674        17741.42682938 
  3.6000e-13           81.62726072            0.00000000        1861.23596709        17203.75535345        19064.99132054 
  3.6500e-13           82.21594329            0.00000000        1874.65889908        19807.49839284        21682.15729192 
  3.7000e-13           82.82673286            0.00000000        1888.58590710        24957.34329553        26845.92920263 
  3.7500e-13           83.45931027            0.00000000        1903.00971385        34460.71266015        36363.72237400 
  3.8000e-13           84.11321706            0.00000000        1917.91986540        50189.62681707        52107.54668247 
  3.8500e-13           84.78781035            0.00000000        1933.30170323        72625.75061525        74559.05231848 
  3.9000e-13           85.48217664            0.00000000        1949.13439817        98885.75574487       100834.89014304 
  3.9500e-13           86.19501797            0.00000000        1965.38835444       122099.36626397       124064.75461840 
  4.0000e-13           86.92453509            0.00000000        1982.02254614       134054.87345614       136036.89600228 
  4.0500e-13           87.66833770            0.00000000        1998.98247048       130146.28005627       132145.26252675 
  4.1000e-13           88.42340776            0.00000000        2016.19931123       112458.79605138       114474.99536261 
  4.1500e-13           89.18612896            0.00000000        2033.59061080        88023.75939659        90057.35000739 
  4.2000e-13           89.95237821            0.00000000        2051.06235556        64132.22246843        66183.28482399 
  4.2500e-13           90.71766009            0.00000000        2068.51204267        44977.56756377        47046.07960644 
